"club","points","wins","draws","loses","objective","playersFile"
"All Stars","0","0","0","0","1","1_league/All Stars.csv"
"Blitz","0","0","0","0","1","1_league/Blitz.csv"
"Magic","0","0","0","0","1","1_league/Magic.csv"
"Phoenix","0","0","0","0","2-4","1_league/Phoenix.csv"
"Calvary","0","0","0","0","2-4","1_league/Calvary.csv"
"Gators","0","0","0","0","2-4","1_league/Gators.csv"
"Rebels","0","0","0","0","5-16","1_league/Rebels.csv"
"Heatwave","0","0","0","0","5-16","1_league/Heatwave.csv"
"Impact","0","0","0","0","5-16","1_league/Impact.csv"
"Fairies","0","0","0","0","5-16","1_league/Fairies.csv"
"Fuego","0","0","0","0","5-16","1_league/Fuego.csv"
"Rampage","0","0","0","0","5-16","1_league/Rampage.csv"
"Hustle","0","0","0","0","5-16","1_league/Hustle.csv"
"Rule Breakers","0","0","0","0","5-16","1_league/Rule Breakers.csv"
"Bosses","0","0","0","0","5-16","1_league/Bosses.csv"
"Guardians","0","0","0","0","5-16","1_league/Guardians.csv"
"Bannermen","0","0","0","0","5-16","1_league/Bannermen.csv"
"Peak Performers","0","0","0","0","5-16","1_league/Peak Performers.csv"
